DataID,"Data Type (Article, Policy Brief, Treaty, News etc)",Link,Full Text,Image URL,Date Published,Published by,Title,Remarks
2022/1001,Article,https://thediplomat.com/2021/05/how-mongolia-made-the-most-of-vaccine-diplomacy/,"Mongolia is ranking high in the global effort to vaccinate populations against COVID-19. As of May 5, 181 countries had started vaccinating their people against the virus, and Mongolia is one of them. According to the Foreign Ministry of Mongolia, 42.2 percent of the population has been vaccinated and 1,398,592 doses have been administered. Mongolia’s multi-pillar foreign policy translated into extremely valuable vaccination diplomacy during a challenging time.

After COVID-19 emerged to become a global pandemic, Mongolia went an astounding 10 months with no local transmission of the virus. But there was a worrying spike this spring, and the country now stands at over 41,000 total cases. According to E-Mongolia, the COVID-19 related death toll has now risen to 134. The increase in infections and the arrival of Mongolians from abroad fostered skepticism of the government’s handling of the overall pandemic.

The Mongolian government’s response has been focused on vaccinating the population while slowly receiving Mongolian citizens from abroad with the assistance of its global partners such as Japan, South Korea, and the United States. But with an array of vaccination options and persistent anti-vaccination sentiments, Mongolians were divided on the issue.

Mongolia’s far-sighted 2011 Foreign Policy Concept calls for a multi-pillar foreign policy approach, and it paid off handsomely in the country’s vaccination diplomacy efforts. Despite its landlocked position, Mongolia managed to utilize its strategic partnerships to receive vaccinations from multiple sources.

According to the Foreign Ministry, Mongolia has received 2,600,540 vaccines through COVAX, the AstraZeneca and Pfizer brands. In addition, the government has purchased Sputnik V from Russia and Sinopharm from China. The COVAX global supply of vaccines to lower-income economies is expected to reach 1.3 billion doses by the end of 2021.

Enjoying this article? Click here to subscribe for full access. Just $5 a month.

Mongolia’s strategic partnerships with its neighbors, Russia and China, allowed Mongolia to receive vaccines more quickly compared to other developing countries, many of which are dealing with significant delays. As early as February 23, 2021, Mongolia received 300,000 doses of the Sinopharm COVID-19 vaccine as a donation from China. More recently, on May 2, Mongolia received the first batch of 20,000 Sputnik V vaccines from Russia and expected to receive an additional 131,200 doses on May 6. Foreign Minister Battsetseg Batmunkh, speaking on national television, stated that the government agencies are diligently “continuing talks to accelerate the vaccination supply.” Moreover, as of April 30, foreign nationals with permanent residency in Mongolia can get their “voluntary vaccination” against COVID-19.

Mongolia’s two large neighbors, Russia and China, have been active in the global supply of vaccines. As the Economic Intelligence Unit reported, “China and Russia have been sending millions of doses of coronavirus vaccines to developing states in recent months. Through this ‘vaccine diplomacy’ operation, Russia and China aim to strengthen their global presence and boost their bilateral relations with the many emerging countries where Western influence is declining.”

But while Mongolia has received neighborly support from both Russia and China, Mongolia’s “third neighbors” weren’t sitting idle either.

The U.S. Embassy in Mongolia reported that the United States Agency for International Development (USAID) had launched “a $450,000 (Tugrik 1.3 billion) USAID program to support the Government of Mongolia’s COVID-19 response.” The embassy noted that the new commitment brings the United States’ total COVID-19 aid to Mongolia almost $4 million. “Through this assistance, USAID is focused on helping to strengthen Mongolia’s own ability to fight the disease and to support the following priority areas: infection prevention and control; preparing laboratory systems for large-scale testing; and communicating with the public on steps they can take to prevent and respond to the spread of the virus,” the statement said.

In addition, U.S. Ambassador to Mongolia Michael Klecheski tweeted about his most recent meeting with Battsetseg, writing, “Diplomacy during the pandemic.” The two sides have been in continuous communication on how the United States can support Mongolia’s fight against COVID-19 as a strategic partner, either through COVAX or financial support.

Moreover, on April 26, new Prime Minister Oyun-Erdene Luvsannamsrai received India’s Ambassador to Mongolia M. P. Singh. The Indian government donated 15,000 AstraZeneca vaccine doses to Mongolia in late February 2021, becoming one of the early vaccination donors. Singh stated at the time, “India is glad to be the first nation to provide Covid vaccine to the ‘Spiritual Neighbour’ and ‘Strategic Partner’ Mongolia.” The strategic partnership the two countries established in 2015 is paying dividends during the pandemic. Mongolia was one of 13 countries gifted vaccines in the “very first phase” of India’s vaccine diplomacy, Singh added, saying, “This gesture demonstrates our cooperative and collaborative spirit, our bond of hearts, and the importance of Mongolia in our ‘Act East’ policy.” Now, as India’s COVID-19 numbers break world records, the Mongolian government is donating $1 million to assist India.

Oyun-Erdene, who is approaching the 100 day mark in the prime minister’s office, aims to vaccinate all people above the age of 18, which is 62 percent of the total population, by July of this year. According to the press secretary to the Prime Minister, Bolortuya Chuluunbaatar, “the country needs 4,200,000 doses to fully vaccinate the entire population and [has] currently acquired 2 million vaccinations.”

The global pandemic highlighted the significance of a country’s foreign policy and what can be achieved through strategic foreign policy endeavors and diplomacy. Mongolia, often categorized as a small state due to its 3.2 million population, cannot afford to deal with more deaths. Mongolia is successfully leveraging its long-standing foreign policy pillars to make the most of vaccine diplomacy.",https://thediplomat.com/wp-content/uploads/2021/02/sizes/medium/thediplomat-2021-02-25-8.jpg,"May 06, 2021",The Diplomat,"How Mongolia Made the Most of Vaccine Diplomacy
Mongolia has received vaccines not only from neighbors China and Russia, but from India and COVAX as well.",
2022/1002,Blog,https://borgenproject.org/covid-19-vaccination-in-mongolia/,"Efforts for COVID-19 vaccination in Mongolia can be described in the oxymoron “small but mighty.” This tiny nation is typically overshadowed by its neighboring states, Russia and China. However, in the event of a pandemic, the position as a small country enclosed by the borders of the world’s two largest vaccine manufacturers can be extremely valuable. Mongolia has benefited greatly from its close ties with its neighbors, powerful forces determined to aid their partners through vaccine diplomacy. As a result of these vaccination efforts, Mongolia hopes to be free of COVID-19 sometime around the Mongolian summer of 2021.

Helpful Partnerships
Mongolia has a sufficient number of vaccines to properly ensure protection within the adult population, primarily due to its advantageous location between China and Russia. The relationship between Mongolia and China dates back to the 1940s when the countries signed a treaty of friendship and mutual assistance. As for Mongolia and Russia, both nations signed the Russo-Mongolian Agreement back in 1912, which gives both countries major commercial advantages. Through these foreign policy agreements, toward the end of April 2021, Mongolia had 1.5 million doses of the Sinopharm vaccine from China and 20,000 doses of Sputnik-V vaccines from Russia.

Additionally, on March 24, 2020, the United States Agency for International Development (USAID) committed $1.2 million to assist the Mongolian government in its COVID-19 response, according to the U.S. Embassy in Mongolia. USAID is committed to assisting efforts for COVID-19 vaccination in Mongolia by strengthening the country’s disease-fighting capabilities. USAID also supports other critical areas such as “infection prevention and control, preparing laboratory systems for large-scale testing” and public communication on personal preventative measures. Due to aid from Russia, China, the United States and other foreign assistance, as of May 6, 2021, Mongolia has administered more than 1.3 million doses of COVID-19 vaccines.

Vaccination Diplomacy and Foreign Policy
The worldwide pandemic brought into sharp focus the importance of a nation’s foreign policy and what is made possible through efforts of foreign and domestic relations. Mongolia is reaping the benefits of vaccination diplomacy by relying on its well-established foreign policy framework. Mongolia’s COVID-19 vaccine initiative includes COVAX, an international effort aimed at ensuring equal access to COVID-19 vaccinations throughout the world.

Specifically, Mongolia’s foreign minister, Battsetseg Batmunkh, has maintained excellent relationships with Mongolia’s allies. For instance, the U.S. and Mongolia have been in regular contact on how the United States, as a key ally, can help Mongolia tackle COVID-19. Additionally, On February 24, 2021, Batmunkh expressed deep gratitude to the foreign minister of China, Wang Yi, for China’s generous assistance in providing resources to Mongolia to fight COVID-19. Batmunkh also adds that the China-Mongolia relationship sets a good example of how nations around the world can empower one another in the face of adversity.

The Mongolian government is so optimistic about the country’s vaccination rollout that Mongolia is promising citizens a summer free from COVID-19. With a fully vaccinated population of 53.4% as of June 1, 2021, Mongolia is without a doubt at the forefront of the worldwide effort to safeguard communities against COVID-19.",https://borgenproject.org/wp-content/uploads/COVID-19-Vaccination-in-Mongolia.jpg,"July 2, 2021",The Borgen Project,EFFORTS FOR COVID-19 VACCINATION IN MONGOLIA,
2022/1003,Article,https://www.borgenmagazine.com/vaccinations-in-mongolia/,"SEATTLE, Washington — Mongolia is a nation settled between two powerful countries: China and Russia. Known for its rugged terrain and nomadic culture, Mongolia was able to avoid any transmission of COVID-19 cases for ten months. This, however, took a turn in the spring of 2021 with cases rising to numbers that had not yet been seen in the country. With a sudden spike in cases threatening Mongolia’s fragile economy, neighboring countries aided public health efforts in Mongolia by answering the Mongolian government’s call for vaccines. As a result, vaccinations in Mongolia began in earnest.

COVID-19 and its Impact on Mongolia
Mongolian officials were especially wary of their underperforming healthcare system before any cases were even found in Mongolia. In addition, Mongolia also has the world’s longest land border with China. With a steady stream of people crossing the border each day between Mongolia and China, the government of Mongolia had to quickly prioritize protecting its people from the spread of the virus. When Mongolia was finally hit with COVID-19 cases similar to those in other countries, the shock of it greatly impacted the Mongolian labor market structure and shook the economic stability of the country.

The World Bank’s Mongolia Economic Update report showed that low-skilled workers living just above the national poverty line had fallen below the line into poverty because of the economic impact of the COVID-19 pandemic on their careers. However, by the end of 2021, the report estimates economic growth that will take place due to government stimulus measures will assist impoverished people. Along with this, the introduction of vaccinations in Mongolia will also contribute to economic growth.

Economic Ties: Critical for Vaccine Acquisition
With the country in a state of crisis, the Mongolian foreign minister turned towards China and Russia for help. Because of China’s reliance on Mongolian coal production, Mongolia gained priority in China’s vaccine distribution plan. A donation of 300,000 Sinopharm vaccines was sent from China to Mongolia. Afterward, Mongolia reached an agreement with Russia to purchase one million doses of Russia’s Sputnik vaccine while days later also getting approved for 330,000 more doses of China’s Sinopharm vaccine. China and Russia weren’t the only countries to donate vaccines to Mongolia. Thanks to a strategic partnership formed in 2015, India donated 15,000 AstraZeneca vaccines in February 2021. Because of additional donations from the COVAX initiative and continued national purchasing of vaccines, the number of vaccinations in Mongolia has steadily reached past three million. Mongolia’s ability to grapple with foreign policies for vaccine diplomacy has certainly been demonstrated through its support from other countries and companies.

Looking Forward: Vaccinations in Mongolia
The new Mongolian prime minister, Oyun-Erdene Luvsannamsrai, aims to vaccinate every Mongolian citizen above the age of 18 as soon as possible, previously setting sights on July of 2021 as a possible completion date for the ambitious goal. With only a population of 3.2 million people, the number of citizens above 18 is 62% of the Mongolian population. 3,788,394 individual doses have been administered in Mongolia, which has been estimated to provide the nation with a majority of fully vaccinated citizens. With high numbers of vaccinated citizens, Mongolia hopes to see an upswing in its economic stability.

To prevent significant portions of its citizenship from falling below the poverty line, Mongolia utilized the benefits of alliances with its powerful neighbors, Russia and China, among others. With the acquisition of vaccinations in Mongolia from other countries, the Mongolian economy may be able to recover from the devastating blow COVID-19 caused to its labor force. Moreover, the nation as a whole may be permanently past its peak of cases, which could signal the start of a recovery in every major sector and beyond.",https://www.borgenmagazine.com/wp-content/uploads/2021/05/Mongolia-Receiving-COVID-19-Vaccines-from-Russia-and-China-768x513.jpg,"July 3, 2021",Borgen Magazine,"Vaccinations in Mongolia Supported by Russia, China and Alliances",
2022/1004,Press Release,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/wshd_665389/202208/t20220809_10738014.html,"On August 8, 2022 local time, Mongolian President Ukhnaa Khurelsukh met with State Councilor and Foreign Minister Wang Yi in Ulaanbaatar.

Khurelsukh asked Wang Yi to convey his sincere greetings to President Xi Jinping, saying that exchanges between Mongolia and China date back to ancient times, and the two countries are always friendly neighbors and tested friends with no political divergence nor unresolved issues. Mongolia firmly pursues the one-China principle and holds that affairs related to Taiwan, Hong Kong, Xizang and Xinjiang are China's internal affairs. This is Mongolia's consistent policy, which will never change. Mongolia heartfully admires the great development achievements made by the friendly neighbor under the outstanding leadership of President Xi Jinping, and is glad to see that with the joint efforts of both sides, the important consensus between the two heads of state has been effectively implemented, and the goal of 10-billion-U.S. dollar bilateral trade volume has been reached. Mongolia appreciates China's persistent efforts to share development opportunities with neighboring countries to help Mongolia achieve common development and win-win cooperation. Mongolia is ready to seek greater synergy between the development strategies of the two countries, and deepen cooperation in the fields of economy, trade, ports, infrastructure, and desertification prevention and control, so as to elevate the Mongolia-China comprehensive strategic partnership to a new height. Mongolia looks forward to stepping up exchanges between the Mongolian People's Party and the Communist Party of China (CPC) to usher in a new century of cooperation between the two Parties, both in their 100s. He wishes the 20th National Congress of the CPC a complete success.



Khurelsukh said Mongolia highly appreciates China's pandemic prevention policy, which has not only effectively protected the health and well-being of the 1.4 billion Chinese people, but also made important contributions to global solidarity against COVID-19. He sincerely thanked China for providing Mongolia with many batches of vaccines and other anti-pandemic materials despite its own difficulties. Mongolia speaks highly of China's positive contributions to defending the UN Charter, attaches great importance to the significance of the Global Development Initiative and the Global Security Initiative in promoting world peace and security, and will actively support and participate in the two initiatives and deepen synergy and implementation in this regard.

Wang Yi conveyed President Xi Jinping's warm greetings to President Khurelsukh, saying that China and Mongolia are good neighbors more valuable than gold, good brothers sharing joys and sorrows, and good partners going through thick and thin together. The two sides have joined hands to fight the pandemic and gifted one another with sheep and tea, writing a new tale of friendship between the two countries. Following the philosophy of putting people and their lives first, China has protected the lives and health of the Chinese people, and at the same time contributed to the global pandemic response, demonstrating the sense of responsibility as a country with a huge population. China will stay committed to the established policy, respond to COVID-19 and pursue economic and social development in a well-coordinated way, and continue to provide anti-pandemic support for Mongolia as needed to jointly defeat the pandemic and expel the virus. We will continue to carry out all-round mutually beneficial cooperation with Mongolia under the guidance of the principle of amity, sincerity, mutual benefit, and inclusiveness and the principle of upholding justice while pursuing shared interests, both put forward by President Xi Jinping. China will be a major country that makes its neighbors rest assured, provides support and assistance for them, and develops together with them. China is ready to join hands with Mongolia to follow through on the important consensus between the heads of state, work in the direction of jointly building a community with a shared future, and seek greater synergy between the Belt and Road Initiative and the Steppe Road Program, between the Global Development Initiative and Mongolia's New Revival Policy, and between China's ""two-step"" development strategy and Mongolia's long-term development vision, so as to help Mongolia turn its advantages in resources and geographical position into development advantages, and make the development outcomes of China-Mongolia relations better benefit the Mongolian people.

Wang Yi said that China appreciates Mongolia's reaffirmation of its firm support for the one-China principle and its opposition to interference in China's internal affairs. China also supports Mongolia in safeguarding its independence, sovereignty and territorial integrity, and backs Mongolia in pursuing a development path suited to its national conditions. As Chinese people say, ""For our friends, we have fine wine. For jackals or wolves, we welcome with shotguns"". We are ready to work with Mongolia and the vast developing countries to maintain solidarity and cooperation, forge ahead hand in hand, continue to support each other on issues involving respective core interests, jointly safeguard peace and tranquility, and build beautiful homes to benefit future generations.

During Wang Yi's visit to Mongolia, Mongolian Prime Minister Luvsannamsrai Oyun-Erdene and Speaker of the Parliament Gombojav Zandanshatar met with Wang Yi respectively.

On the same day, Wang Yi also held talks with Mongolian Foreign Minister Batmunkh Battsetseg and jointly met the press. The two sides signed cooperation documents between the two foreign ministries and witnessed the signing of cooperation documents on railway ports, and health and quarantine, among others.",https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/wshd_665389/202208/W020220809563752939487.jpg,"August 8, 2022",Ministry of Foreign Affairs in People's Republic of China,Mongolian President Ukhnaa Khurelsukh Meets with Wang Yi,
2022/1005,News,http://www.xinhuanet.com/english/2021-07/11/c_1310055048.htm,"Despite the COVID-19 pandemic, Mongolia and China have maintained active cooperation, setting a real example of how neighboring countries help each other and overcome difficulties together, Mongolian Foreign Minister Batmunkh Battsetseg has said.

""Strengthening continuously mutually-beneficial cooperation with China is one of the Mongolian foreign policy priorities,"" Battsetseg told Xinhua in a recent interview.

Describing China as Mongolia's eternal neighbor with a long history of traditional relations, she said it's pleasing to see that the comprehensive strategic partnership with China has been deepening in all areas.

Last year, the two countries exchanged high-level visits and held meetings of intergovernmental commissions, maintained trade and economic interactions, and effective cooperation in preventing and curbing the spread of the pandemic, Battsetseg noted.

""We are sincerely grateful to the Chinese government and people for donating vaccines and essential medical equipment to Mongolia during this difficult time, as well as for sharing experiences in successfully combating the pandemic,"" she said, adding that China's vaccine support is very important for Mongolia.

Mongolia launched a national vaccination campaign in late February, aiming to vaccinate at least 60 percent of its 3.3 million population.

So far, over 55 percent of its population have been fully vaccinated, according to the country's health ministry.

""We believe that intensive and wide-ranging immunization will increase economic activity and opportunities for further cooperation with foreign countries, including China,"" said Battsetseg.

In addition, within the framework of long-term and medium-term development policies, Mongolia has set specific goals and started implementing measures to reduce poverty, increase people's incomes, improve quality of life and support business activities, said Battsetseg.

China is one of the country's largest trade and investment partners, Battsetseg said, noting that economic cooperation between Mongolia and China plays an important role in achieving the above-mentioned long-term development policy goals.

China's willingness to share development experiences and benefits with other countries, import more goods and services from abroad and pursue a policy of common development is a good opportunity for neighboring countries such as Mongolia, she said.

Moreover, Mongolia has supported China-proposed Belt and Road Initiative (BRI) from the onset and actively participated in it, Battsetseg said, expressing her willingness to exchange experiences and implement joint projects with China not only in the real-economy sectors, but also in financial and e-service within the BRI framework.

Commending China's achievements in poverty alleviation, she said that Mongolia is also interested in exchanging experiences and cooperating with China in artificial intelligence, robotics, innovation, environmentally friendly technologies and tourism. Enditem",,"July 11, 2021",Xinhuanet,Interview: Mongolia-China cooperation amid COVID-19 exemplary -- Mongolian FM,
2022/1006,News,https://www.montsame.mn/en/read/299318,"Ulaanbaatar/MONTSAME/. Mongolia received the first batch of 302,400 doses of 1.3 mln doses of Pfizer pediatric vaccines from the COVAX Facility, which will be used for 5–11-year-old children with a parental consent. This supply of the first pediatric vaccines for children aged 5-11, were donated by the United States government and delivered through UNICEF. 

Since June of 2021, UNICEF Mongolia has supported the government of Mongolia with procurement of 2.5 mln doses of Pfizer vaccines sponsored by the government of Japan and 1.3 mln more doses under the support of COVAX and US government. 

Nearly 90 percent of vaccines used for booster immunization purposes were Pfizer vaccines procured by UNICEF Mongolia.",https://www.montsame.mn/files/62b134f6cefa8.jpeg,"June 21, 2022",Montsame,First batch of pediatric doses of Pfizer vaccine arrived in Mongolia,
2022/1007,News,https://www.montsame.mn/en/read/286431,"Mongolia has begun to administer the fourth dose of the coronavirus vaccine to its people on voluntary basis on January 7. Currently, 66.6 per cent of the population have received two shots of coronavirus vaccine while 28.7 per cent have had the third shot.


Mongolia is one of leading countries in the world with its early and active vaccination program and has passed the coronavirus waves without frequently imposing strict quarantine measures. The country has also had significantly less deaths caused by COVID-19 compared to that of developed countries. Specifically, while the US and the UK have had 2,501 and 2,194 deaths per 1 million citizens respectively, Mongolia has had 650 so far.

 

Amid a global surge in Omicron variant infections, the Government of Mongolia adheres a strategy to widely involve the population in the third dose of COVID-19 vaccines and administer the fourth dose on voluntary basis to pass the new wave and avoid imposing strict lockdown measures. 

 

Citizens are able to voluntarily get their fourth dose of vaccinations once 3 months have passed since their third dose. In addition, those that recovered from COVID-19, who had the third dose can receive their fourth dose 21 days after their recovery. Pfizer’s Comirnaty vaccine and Sinopharm’s ‘CorV’ vaccine are available for citizens.


Furthermore, children aged 12 and above are being offered a first dose of the COVID-19 vaccine, whereas those turning 18 this year can be involved in their third dose of the immunization.",,"January 10, 2022",Montsame,Mongolia becomes one of first Asian countries administering fourth vaccine dose,
2022/1008,News,https://www.montsame.mn/en/read/286899,"Ulaanbaatar/MONTSAME/. The Ministry of Health reported today, January 14 that 2010 ?OVID-19 infections and three deaths were recorded in the last 24 hours. In detail, 1454 cases were reported in Ulaanbaatar city, with 531 cases in 21 provinces and 25 imported cases.



Therefore, the cumulative infection tally in Mongolia has reached to 403,771, with the death toll to 2009. Currently, 5889 people are receiving hospital treatment for COVID-19 whilst 22,221 people with mild symptoms are being treated at home. 



As of today, the coverage of 1st dose is 69.7 percent (2,267,546), 2nd dose – 66.6 percent (2,167,267) and 3rd dose or a booster shot of COVID-19 vaccines – 29.4 percent (955,120) of the total population. In addition, 20,035 people have received 4th vaccine dose.",https://www.montsame.mn/files/61e0f66e11fd0.jpeg,"January 14, 2022",Montsame,20 thousand people receive 4th vaccine dose,
2022/1009,News,https://www.montsame.mn/en/read/301509,"Ulaanbaatar/MONTSAME/. In Mongolia, the vaccine against COVID-19 has started being administered to children aged between 5 and 11 years old from today, August 1, on a voluntary basis. 


There are about 500 thousand children aged 5-11 nationwide, of whom 25.7 percent are planned to be involved in the vaccination, reported Vaccination Department of the National Center for Communicable Diseases. ",https://www.montsame.mn/files/62e745fb61bb3.jpeg,"January 8, 2022",Montsame,COVID-19 vaccine starts being administered to children aged 5-11,
2022/1010,News,https://www.montsame.mn/en/read/286358,"Ulaanbaatar /MONTSAME/. Mongolia has begun to administer the fourth dose of the coronavirus vaccine to its people on voluntary basis on January 7. Currently 66.6 per cent of the population have received two shots of coronavirus vaccine while 28.7 per cent have had the third shot.



Mongolia is one of leading countries in the world with its early and active vaccination program and has passed the coronavirus waves not imposing strict quarantine and with less loss. The country also has experienced significantly less deaths caused by coronavirus compared to that of developed countries. Specifically the US have had 2501 deaths per 1 million, the Great Britain 2194 while Mongolia- 650.



Amid a worldwide surge in Omicron variant infections, the Government of Mongolia adheres a strategy to widely involve the population in the third dose of coronavirus vaccine and administer the fourth dose on voluntary basis to pass the new wave, avoiding from imposing strict lockdown. 



The citizens will voluntarily get the fourth dose after three months since their third dose. In addition, coronavirus infected citizens, who had the third dose can receive their fourth dose after 21 days since their recovery. Citizens will be vaccinated with the fourth  shot, choosing from Pfizer’s Comirnaty vaccine and ‘CorV’ vaccine developed by Sinopharm.



Also, children born in 2010 who will turn 12 this year are being offered a first dose of the COVID-19 vaccine. Citizens who will turn 18 this year can be involved in their third dose of the immunization.",https://www.montsame.mn/files/61dba90b3365a.jpeg,"January 10, 2022",Montsame,Mongolia becomes one of first Asian countries administering fourth vaccine dose,
